TMDB_ID,Title,Release_Date,Poster_Path
304250,Keladi Kannmani,27-07-1990,/rJzqvwpW9SnQRwgeyASXoqd6mnv.jpg
445952,Inaindha Kaigal,02-08-1990,/vG7u4xo3FrJtqVn3VIvWcDfkZyL.jpg
704349,Velai Kidaichuruchu,15-08-1990,/jjlRhC0XoUIYrI2ElcsYM9ItWvX.jpg
66363,My Dear Marthandan,24-08-1990,/jUuIVw785at3jQN4qiwwZv87Swi.jpg
281809,Thalattu Padava,05-09-1990,/pwHjzuZEXH9EmAcFoocgumvGjEC.jpg
281354,Puriyaadha Pudhir,07-09-1990,/hCV90i9OSR9qT1UimbkqzaQHjwZ.jpg
260656,Enkitta Mothathe,14-09-1990,/A9erygUgrLYHsm0XkYWe20J75jw.jpg
509173,Pudhiya Sarithiram,11-10-1990,/jzlNuFLkWZT2OMujGocI6crPXz5.jpg
387759,Avasara Police 100,17-10-1990,/o33gpusr87kybv424uhouM8sX26.jpg
78986,Chatriyan,17-10-1990,/f67xYI5MyWZK2wblXaLdCGBx0Mg.jpg
78679,En Kadhal Kanmani,17-10-1990,/zVXoXNXf6vmThuL3L6mbXzVL28y.jpg
322635,Aatha Naan Paasayiten,23-11-1990,/vS4Bd1WvGHS85inIBn9wrRquwQ3.jpg
335930,Nadigan,30-11-1990,/6EQEvS8Wkixz3kYGn2mwm61NBgU.jpg
1126682,Urudhi Mozhi,01-12-1990,/tJMyP7NSoRuWPeV8762aU9PQmdH.jpg
534410,Engal Swamy Ayyappan,28-12-1990,/37DAwOGc5noNgo5yv8Vxs6KsgFS.jpg
411049,Nee Pathi Naan Pathi,01-01-1991,/xlYwKRRKzOxBLCF2WGFGiw7LAWX.jpg
304629,Vaa Arugil Vaa,11-01-1991,/bRpEPiUi0geOtWC68z1biVqIPgA.jpg
282233,Sigaram,11-01-1991,/hBnXLGMUiQjPzvUCNgzqYRuh5nH.jpg
704502,Eeramana Rojave,12-01-1991,/dT8tS7ARdUNrkQe34BwqnJkLrIU.jpg
717632,Kumbakarai Thangaiah,14-01-1991,/pJaBd5UhYpnY9ujd1li4fln2TdT.jpg
66255,Dharma Durai,14-01-1991,/p9jnogmYHj8c5XUauAJRmnEBTpY.jpg
508669,En Pottukku Sonthakkaran,15-01-1991,/7f8NSFQX5odLEV6gcycitGJcMyl.jpg
504695,Amma Pillai,08-02-1991,/i5L95utZEtQsRPA5BNSe3bMvxS2.jpg
1562625,Naan Pudicha Mappillai,21-02-1991,/pKSTtM93O98g7xYm7x4jY47r2Qf.jpg
1121867,Vetrikkarangal,15-03-1991,/m9erzyMD7tjIbrZWARXDtxOMy7Z.jpg
74416,Uruvam,15-03-1991,/e84Khm5THkT2VqYStucS3JUyGIu.jpg
78737,Gopura Vasalile,22-03-1991,/p0zaJWirQMQL3fN6gYuB8Qs4mQi.jpg
353174,Chinna Thambi,12-04-1991,/nHETRq3kJStEBKHzRTzwLJXSYpu.jpg
1660657,Officer,14-04-1991,/dDQkvUcomh3jfNeGbNDziPeAxoG.jpg
